id,title,company_name,loc,details,url
18,recruitment manager,neom city,saudi arabia,"role purpose  oversee and manage talent acquisition and onboarding for neom  key accountabilities &amp; activities  key responsibilities  lead a team of recruitment and onboarding professionals  develop, drive, and execute the recruitment strategies that support all neom sectors  drive innovative onboarding strategies, and ensure best-in-class service for neom  work closely with neom leaders to drive diverse, new thinking recruitment practices and strategies  provide innovative, scalable solutions to drive hiring in order to meet neom business objectives  interact and build successful relationships with key business leaders and serve as a primary source of recruitment and onboarding strategy, consultation, and education  create innovative sourcing strategies to ensure neom moves closer to realizing a ‘new future’ compile, analyze and capture recruitment and onboarding insights from data to support business decisions  manage the talent acquisition for future neom talent – graduate programs and internships  background, skills &amp; qualifications  knowledge skills and experience  experience leading and motivating a diverse multicultural team  extensive talent acquisition experience, and the implementation of talent acquisition strategies and processes  knowledge of both saudi and international recruitment practices  demonstrated involvement partnering with business leaders  experience preparing and analyzing a variety of recruiting data and reports and sharing them with business leaders  qualifications  bachelor degree in hr, business administration, or a related field  main contacts  internal  external  executive director, hr  sector heads/executive directors/managers across neom  hr leadership team  vendors  prospective neom partners across the globe",https://sa.jooble.org/away/-5614908822343380490
19,project engineer - project manager,schweitzer engineering laboratories,eastern province,"the devices we make at sel are embedded in the power grid. they prevent blackouts. they make outages safer and shorter in duration; they add cybersecurity, automation, and communication. they use cutting-edge technologies and operate at speeds that push other pieces of the grid to go faster.  schweitzer engineering laboratories is seeking an enthusiastic, experienced project engineer - project manager who is professional, organized, and dedicated for joining our project engineering team. the candidate must be a saudi national. this will be an excellent opportunity for someone who can understand and apply his knowledge &amp; experience in the full life-cycle project management, effectively track projects, work closely with customers, and implement solutions. if you are looking to work alongside technical experts in the power industry, then this position is for you! as a project engineer iii - project manager, a typical day might include the following: • possesses, understands and applies knowledge and experience of power system in f ull life-cycle project management of multiple large multi-discipline projects from proposal conception to commissioning and close-out. effectively track and stabilize projects, implement solutions for obstacles and anticipate customer needs. and related sel products to complete complex assignments. • lead in training and assisting customers with the creation, design configuration, validation, installation, commissioning and operation of automation or protection systems • lead in assigning, completing and implementing work within agreed upon scope, schedule and budget to a high level of quality and safety • assist in the identification, preparation and presentation of successful proposals for sel equipment, services, and systems • mentor and develop professional staff. may supervise as necessary  this job might be for you if: • possess a b.s. in electrical engineering or relevant discipline • you have 8+ years of relevant application experience with electric power systems, industry practices, and full life-cycle project management • have proven knowledge of electric power system design, studies, information and communication technology and protective relay applications • willing to travel both domestically and internationally a minimum of 25%• enjoy working cooperatively in a team environment  location  khobar saudi arabia  why sel? competitive pay. superior benefits. inspiring work.  we provide and take care of our employees with outstanding benefits, competitive pay, challenging work, and a rewarding career. • top tier medical, prescription, dental, vision, life, and disability insurance. • varied leave plans like annual leaves, sick leaves, parental leaves etc. to maintain a healthy life balance • yearly flight tickets to home country for expat employees and their family members based on their eligibility • developmental programs like tuition assistance, internships, skill development courses and engineering development programs (edp). • wellbeing benefits like free and confidential employee assistance program (eap) and reimbursable yearly gym membership • international travel medical and security assistance to assist our traveling employees and accompanying family members worldwide • additional compensation for working on customer sites in the field based on eligibility  pay range data  we base our starting pay offer on location and job-related factors such as candidate experience, training, knowledge, and skills  communication with applicants  we communicate with all applicants. if you do not receive a response about your application, please check your spam filter or reach out to us at careers@selinc.com .  sel is an equal opportunity employer: vets/disabled.    company industry  consumer electronics  department / functional area  projects  keywords  disclaimer: naukrigulf.com is only a platform to bring jobseekers &amp; employers together. applicants are advised to research the bonafides of the prospective employer independently. we do not endorse any requests for money payments and strictly advice against sharing personal or bank related information. we also recommend you visit security advice for more information. if you suspect any fraud or malpractice, email us at abuse@naukrigulf.com  jobs in dammam and khobar and eastern province",https://sa.jooble.org/away/7150640753722440966
20,knowledge analyst - oil & gas,"mckinsey & company, inc.",riyadh,"who you&#39;ll work with    you will be based in our riyadh office as part of our saudi client capabilities hub.  you will work closely with our global energy and materials practice who advises top management in the energy sector locally and globally. as part of our hub, you will serve our clients across the middle east and easter europe, middle east and africa region.  our hub is part of our global client capabilities network which comprises of 3000+ client serving professionals with deep specialization across industries and functions. colleagues in our global  client capabilities network  deliver distinctive client impact through assets and expertise and are driven by a culture of innovation.  what you&#39;ll do  you will deliver content expertise across topics such as maintenance, reliability and operations functions for our oil and gas, and chemicals clients.  in this role, you will help clients build capabilities in delivery and execution, both during an active project and continuing after we’ve shared our recommendations. you will work in teams to build the capabilities, systems and processes needed to deliver results and then ensure those results are sustained. to do this, you will bring and maintain or develop genuine expertise in the oil and gas sector across multiple clients you will serve.  you will have responsibilities across all phases of our client development work, from initial business development and delivery to maintaining great relationships with clients during projects and beyond. you will collaborate closely with clients and drive analyses to provide unique insights. you will also support the development and maintenance of proprietary knowledge capabilities in conjunction with other experts in local and global practices.    qualifications  master’s degree in mechnical or electrical engineering; university degree with a quantitative background in econometrics, optimization, engineering, physics or equivalent 2+ years of experience in energy transition, decarbonization, renewables (solar, wind, hydrogen, hydro, geothermal), asset decarbonization, decarbonization policy, sustainable financing, carbon offsets, carbon audit and/or carbon modelling  interest and experience in the energy sector (e.g., through degrees, internships or work experience) experience deploying multi-billion-dollar capital projects is a plus  experience working with numbers/quantitative models  strong problem-solving skills and conceptual abilities with an analytical mindset  excellent business acumen and understanding of the main business, economic and financial concepts and terminology  strong multitasking abilities; service-oriented personality  ability to work collaboratively in a team environment; ability to work effectively with people at all levels in an organization  skills to communicate complex ideas effectively  fluency in english; fluency in arabic preferred",https://sa.jooble.org/away/7571611605161143170
21,associate oms application engineer,"aspen technology, inc.",medina,"open systems international, inc. (osi), an aspentech business, is a fast-paced, growing, high technology company, headquartered in medina, minnesota. as a world leader in the operations technology (ot) field, osi develops and supplies state-of-the-art energy management, optimization and control software solutions to energy utility companies worldwide.  the role  osi is looking for talented, energetic, and outgoing engineers to work in a rapidly growing field where you will have the opportunity to deliver state of the art systems to some of the most exciting electric utilities around the world. as an outage management system (oms) application engineer, you will be involved in designing, building, configuring, testing, and delivering our advanced distribution management system (adms) all while working closely with other driven engineers within osi and with our customers. specifically, you will be working on osi&#39;s outage management system (oms that spans the electric utility&#39;s operational and information technology domains; you will be building systems that improve the efficiency of the utility&#39;s grid operations and capture information and data in support of their business functions. these systems will expand the utility&#39;s smart grid capabilities by providing detailed insight into the operations of the electrical grid, from the generation of power to the delivery at the customer meter. you will have the opportunity to shape the future of the electrical grid, which will reduce environmental impacts through the conservation of crucial resources. you will be reporting to an adms delivery lead or manager.  your impact  develop and execute system build plans accounting for software architecture, information security, and hardware deployment.  work closely with customers to understand their operational needs, provide system training, and configuration to meet their needs.  support design and process workshops with the customer.  implementation of control systems at electric utilities that improve their efficiency to operate the modern grid while ensuring contract requirements and specifications are met.  perform system and acceptance testing with the end customers.  develop scripts and other middleware solutions to integrate 3rd party systems.  work closely with product development and product management teams to enhance osi&#39;s products into the future.  troubleshoot complex problems and collaborate with technical experts in various domains.  travel to customer sites and work directly with customers to successfully deliver, test, and integrate systems.  what you&#39;ll need  bachelor&#39;s degree in electrical engineering, computer engineering, systems engineering or computer science, or equivalent.  internship experience and experience using linux and windows operating systems.  ability to develop shell and python scripts.  familiarity with the concepts of rest based web services.  strong work ethic and willingness to learn and investigate new technologies and problems.  technical understanding of networking and security, operating systems, virtual environments, and systems integration.  strong systems background with the ability to troubleshoot across complex systems.  understand concepts of big data technologies and relational databases.  willingness to travel. (25% average) experience in a similar application engineering role.  industry experience with advanced distribution (adms), outage (oms), or switch order (som) management systems.  experience supporting critical operation or information technology systems.",https://sa.jooble.org/away/-1499052523597070925
22,electrical design engineer (building design),ghafari as,riyadh,"electrical design engineer (building design) riyadh , saudi arabia apply now  a person must be a saudi national, and be able to read/write/speak english.  ghafari associates is looking for electrical design engineer to join our  riyadh, saudi arabia  office.  the electrical design engineer, will apply electrical analysis, design and drafting skills to develop engineering design documents for lighting, power, and associated controls. he/she will provide computer-aided design (cad) technical production support in the discipline of electrical engineering and related coordination for process and building systems.  essential job functions:  create engineering documents using computer aided design (cad) technology utilizing autodesk revit and/or autocad  work closely with architects and engineers during design phase of project to understand project scope of work  possess / demonstrate the engineering knowledge and understanding to design or analyze engineered equipment, (e.g. substation mechanical equipment and systems integration) knowledge of the nfpa, ansi/ieee and ies standards, as they apply to the electrical design  able to adhere to project quality, budget, and schedule given the design approach and constraints  possess engineering knowledge of the high &amp; low voltage systems (e.g. power and lighting systems) prepare feasibility studies and schematic design packages of lighting, power systems, etc.  able to adhere to project quality, budget, and schedule given the design approach and constraints  communicate and work with all other disciplines to produce coordinated construction documents  conduct field measuring and checking at the construction site  with assistance, edit and draft project specifications  review project submittals (shop drawings) for conformance with contract documents; specify action required for conformance  respond to rfis  perform related duties as assigned  qualifications  bachelor’s degree in electrical engineering or related field 5+ years of related and progressively more responsible experience in electrical engineering field  knowledge and application skills for design of facilities power and lighting systems  revit experience a must! computer applications skills for production of design documentation, including microsoft office (emphasis on excel and word) and bim 360 engineering software for power and lighting (dialux), short-circuit analysis (e.g. etap, skm) must be able to read, write and speak english  strong attention to detail  overview  since 1982, ghafari associates has taken a personal approach to highly technical projects in complex markets including: aviation, manufacturing, healthcare, retail, hospitality, k-12 and higher education. as a global team of engineers, architects, process designers, and consultants we blend insight with technological innovation helping clients elevate their efficiency, sustainability, and impact.  continuously rated a top workplace to work ( , crain’s cool place to work ( , and a best and brightest ( company to work for in the us, ghafari has made a name for itself through our culture, employee benefits, and portfolio of projects ( .  over a quarter of ghafari employees have diverse identities that are championed by our growing approach to diversity, equity, and inclusion. we provide flexible work environments allowing team members a schedule that benefits them, whether it is fully remote, hybrid or an in-office experience.  through career mapping, ghafari employees are encouraged to seek licensure, coached for knowledge growth, and provided opportunities for management and mentorship roles if interested. our robust internship program recognizes undergraduate and graduate students from across the world, having an over 90% success rate of hiring our interns after graduation.  join our team and work on forward-thinking projects all around the world. ghafari’s global reach creates an environment where individuals can build professional relationships while building sustainable and cutting-edge facilities. are you ready to take that leap? apply now! ( ghafari associates, llc is an equal opportunity / affirmative action employer and is committed to providing reasonable accommodations to individuals with disabilities in the employment application process. if you need an accommodation due to a disability in order to use our online system to apply for a position at ghafari associates, llc, you may apply for positions in the following ways:  connect to our job portal ( by fax at 313.436.8624; attn: human resources  by mail at 17101 michigan avenue, dearborn, mi 48126; attn: human resources  by email at hr@ghafari.com  if there are any questions or additional accommodations that are required, please contact 313.441.3000 for assistance.  it is ghafari associates, llc’s policy not to discriminate in its employment and personnel practices because of a person’s race, color, creed, religion, sex, national origin, age, weight, height, marital, pregnancy or parental status, sexual orientation, gender identity, genetic information (including family medical history), political affiliation, military service, status as a qualified individual with a disability or a protected veteran, or any other classification protected by federal, state or local law or ordinance.",https://sa.jooble.org/away/3341860693498680590
23,associate dms application engineer,"aspen technology, inc.",medina,"open systems international, inc. (osi), an aspentech business, is a fast-paced, growing, high technology company, headquartered in medina, minnesota. as a world leader in the operations technology (ot) field, osi develops and supplies state-of-the-art energy management, optimization and control software solutions to energy utility companies worldwide.  the role  osi&#39;s advanced distribution management system (adms) is a high growth area in our business that unlocks an electric distribution utility&#39;s ability to monitor, manage, control, and optimize the grid. as an associate distribution management system (dms) application engineer you will be involved in all aspects of the successful delivery of systems to our customers. you will be engaged with our customers supporting efforts to design, build, configure, troubleshoot, and test the deployment of our systems. this position gives you broad exposure to the entire adms and will focus on advanced applications such as distribution power flow (dpf), fault location isolation &amp; service restoration (flisr), and volt/var control &amp; optimization (vvc/vvo). in this role, you will be a point of contact with our customers throughout and after the project lifecycle. you will have the opportunity to work across functional teams including other adms application engineers, the architecture &amp; product solution teams, and our software development organization. you will be reporting to an adms delivery lead or manager.  your impact  implementation of control systems at electric utilities that improve their efficiency to operate the modern grid while ensuring contract requirements and specifications are met.  participate in design, planning, and execution of adms projects.  support testing events with the customer.  installation and configuration of advanced distribution management applications such as distribution power flow (dpf), fault location isolation &amp; service restoration. (flisr), and volt/var control &amp; optimization (vvc/vvo) work closely with osi development teams to troubleshoot, prioritize, and test product changes.  interface with the utility&#39;s geographic information system (gis) teams to extract, translate, and load the electrical network model to the distribution management system.  configure and integrate software components to meet contract requirement specifications and test with customers.  train customers on how to operate the systems being delivered.  provide technical support to troubleshoot and resolve issues observed on live systems.  willingness to travel. (25% average) what you&#39;ll need  bachelor&#39;s degree in engineering or related field required.  internship experience required.  experience troubleshooting complex systems and software applications.  strong communication skills, both verbally and written.  proven ability to organize and prioritize work within tight timelines.  preferred degree in electrical engineering, computer engineering, or computer science.  master&#39;s degree in power systems engineer or equivalent a plus.  programming and scripting experience is preferred. (c/python) database and data structure knowledge and experience is preferred. (sql, xml, mongo, gis) understanding of electric distribution power systems and modeling is preferred. (load flow studies, coordination studies, arc flash studies) operations or engineering experience at an electric utility is preferred.",https://sa.jooble.org/away/4596828329127431700
24,associate adms automation engineer,"aspen technology, inc.",medina,"open systems international, inc. (osi), an aspentech business, is a fast-paced, growing, high technology company, headquartered in medina, minnesota. as a world leader in the operations technology (ot) field, osi develops and supplies state-of-the-art energy management, optimization and control software solutions to energy utility companies worldwide.  the role  open systems international, inc. (osi) is looking for talented, motivated, and energetic automation engineers to support initiatives both with our advanced distribution management system (adms) utility customers and within osi. in this position you will focus on supporting existing and new automation tools to provide consistency in testing and delivery of our product. you will be working closely with a team of driven engineers within osi as well as directly with our customers to develop scripts, building harnesses leveraging testing frameworks, and collect testing outputs to automate repetitive tasks and improve delivery quality. you will be supporting adms delivery teams by provides automation services through their project&#39;s lifecycle. this role will report to the manager adms devops &amp; automation.  your impact  supporting automation initiatives using tools such as locust, k6, python, and other osi developed frameworks.  acting as a subject matter expert and mentor for adms delivery teams &amp; 3rd parties for the deployment of automation tools.  building standards, tools, and templates to support automation and the processes to deploy on project systems.  educate, train, and support utility technical experts with automation architecture, standards, and questions.  support creation and deployment of automated testing tools that can be used internally and with our customers.  collaborate with internal teams around unification of the delivery processes. (testing, delivery, custom tooling) work tightly with development teams to ensure consistent and thorough product testing.  own and maintain historic and new internal adms scripts.  what you&#39;ll need  bachelor&#39;s degree in computer science or engineering.  internship experience.  strong scripting proficiency. (python, ruby, bash, powershell) excellent communication skills, both verbal and written.  ability to facilitate workshops with small groups of people. (10-15 people) willingness to travel. (10% average) advanced computer engineering degree preferred.  application engineering experience.  strong familiarity using windows and linux server oss.  a solid understanding of networking, firewalls, load balancers, tcp/ip, security standards.  version control systems. (svn, github) understanding of software development lifecycle. (sdlc)",https://sa.jooble.org/away/464668310738516944
25,geno erp consultant (geno-tfc),oracle,riyadh,"preferred qualifications  come and join us! are you passionate about changing lives through technology? we’re not interested in what university you went to, or even what you studied. instead, we want to get to know the real you—that way you’re free to use every part of what makes you outstanding to learn, grow, and succeed. in return, we’ll help you find your calling and kick-start an extraordinary career. generation oracle (geno) is oracle’s brand-new career development initiative, passionate about identifying and advancing early-in-career and return-ship talent through a tailored sales, solution engineering and consulting programme. geno delivers learning, continuous development and clear, accessible career paths whilst offering the opportunity to influence and help steer our business into the future.  the generation oracle program provides the opportunity to learn and grow your skills as a consultant fast; rapidly building your knowledge and learning to help your customers improve their business performance in operations, profitability, management, structure, marketing and strategy all through cloud technology.  join our diverse and international team and experience the true start of your career. learn oracle’s cloud solutions and come to understand the incredible impact you can have as a consultant and appreciate the responsibility of knowing that you have a direct effect on your clients, their employees, and their customers.  oracle’s enterprise resource planning (erp) practice is expanding, with a significant demand for finance and accounting technology using the latest cloud and mobile trends. our finance consultants work with a variety of clients – from some of the world’s largest organisations – providing ground-breaking solutions.  we are looking for 0-2 years working experience who can think outside the box and are encouraged to bring creativity and passion to the team, working in a professional and competent manner. training will be provided on industry leading products alongside on the job mentoring and feedback to allow your skills to thrive.  this is an excellent opportunity to join a company that values diversity, allowing you to work with rapidly evolving technologies, where you will be constantly encouraged to step outside of your comfort zone and strive to become your best. you will have the opportunity to work with many of the world's leading organisations that use oracle technology, and be part of a hard-working, business-focused team working onsite with a variety of client organisations. work and on new projects or assignments.  what you’ll bring  ba/bs degree in finance and accounting.  knowledge of erp processes and the business problems faced by finance, procurement and supply chain management practitioners.  strong organisation and leaderships skills.  good inter-personal and communication skills.  passion and aim to learn and share their knowledge with the team.  willingness to travel  your own country language excellent english  strong ability to solve problems and process data  thrive on innovation and ability to think creatively.  range: you are curious and have varied interests.  drive: you have a “roll-up-the-sleeves” and “get the job done” demeanor.  effectiveness: you’re able to multi-task, prioritize and manage your time when you work independently or in groups.  what we’ll give you  significant investment in your professional development via training, mentoring and a social network of resources and leaders with a vision inside oracle.  the opportunity to engage with a variety of customers in multiple areas.  fun and flexible work for the ideal work-life balance.  an inspiring, inclusive, and multicultural community that values fresh perspectives.  competitive pay and excellent benefits that will help you do your best work.  relevant modules in your degree  finance and accounting  management  information systems  relevant internship or work experience in accounting, finance reporting and data processing  the applicant’s degree should be one which is accredited by any of the five major accounting bodies:  acca    ,    cima    ,    cipfa    ,    icaew    and    icas  . modules studied should earn exemptions from the institutes’ professional examinations. applications will be encouraged to complete studies to gain professional accreditation with an accounting body.  responsibilities displayed in the job posting  contribute as a team member on customer projects.  assist customers by implementing enterprise resource planning as part of oracle’s cloud strategy.  act as a functional consultant specialising in the delivery of erp cloud &amp; mobile applications.  analysis, design, recommendation, and implementation of business performance improvements.  configure, test, and deploy responsive web and mobile based erp applications.  assist in validating the solution as part of client adoption.  work collaboratively within a team both on and off customer sites.  proactively engage with team and clients recommending oracle standard solutions.  share your knowledge and experience within the team and your extended network.  detailed description and job requirements  entry-level consulting position for those who are new to professional services and are developing their expertise. receives detailed instruction on routine work and on new projects or assignments.  as a member of a project team, follows standard practices and procedures to analyze situations/data and provide quality work products to deliver functional and technical solutions on applications and technology installations. work involves some problem solving with assistance and guidance in understanding and applying relevant oracle methodologies and practices with limited autonomy. implements oracle products and technology in various industries to meet customer specifications. 0 to 2 years of experience relevant to a functional or technical role. undergraduate degree or equivalent experience preferred. product or technical expertise relevant to practice focus. demonstrates basic competence in one product or technology area. ability to communicate effectively and build rapport with team members and clients. ability to travel as needed.  as part of oracle&#39;s employment process candidates will be required to successfully complete a pre-employment screening process. this will involve identity and employment verification, professional references, education verification and professional qualifications and memberships (if applicable).",https://sa.jooble.org/away/1403579548828795259
26,"systems engineer, cloud services",specialized technical services – sts,riyadh,"the hiring team may use this number to contact you about this job.  *   do you carry a jordanian passport with a national id number? yes no  *   do you have any relatives currently working at sts (if yes please mention the name and relation)?   *   this position requires 24/7 support, so employees need to be available 24 hours a day, 7 days a week working in shifts of 8.5 hours a day, 5 days a week .are you willing to work on a shifts basis? yes no  *   this position may require travel, how much time are you willing to travel if the position requires it?   *   are you willing to commit to a one-year paid internship program for 300 jod per month? yes no  *   please upload your id  upload a file or drag and drop here  *   please upload your university transcripts  upload a file or drag and drop here",https://sa.jooble.org/away/8785237497811527231
27,client and brand engagement coordinator,entertainer fz llc,riyadh,"us  the entertainer is a leading digital company whose main goal is to add value to consumers by bringing them the best incentive offers globally. we are a data-driven, 100% digital, tech company. providing first-rate offers across renowned dining, leisure, entertainment and hotel brands worldwide, the entertainer has grown with the aim of creating unbeatable value and loyalty everywhere we go. we believe that “experience is everything”, resulting in our passion for creating unforgettable experiences for both our customers, partners and employees.  we are looking for an enthusiastic  client and brand engagement coordinator  to join our team at the entertainer business, a leading company in the loyalty and rewards industry. the successful candidate will support the implementation of activations, redemptions, and overall user engagement for our b2b clients&#39; programs, as well as assist in our brand engagement efforts. this role is ideal for someone who is eager to learn and develop their skills in campaign management and client success.  responsibilities:  b2b client solution support:  assist in collaborating with b2b clients of the entertainer business to understand their needs, objectives, and target audience, in order to support the design and implementation of customized engagement campaigns that drive user engagement with their loyalty and rewards programs.  help create promotional campaign calendars for clients&#39; programs, focusing on activations, redemptions, and overall user engagement.  support the establishment of relationships with key client stakeholders to ensure effective collaboration and alignment with their marketing strategies.  contribute to measuring progress on kpis, monitoring project plans against timelines, and analyzing campaign effectiveness, providing regular reports and insights to clients.  brand engagement support:  assist in brand engagement efforts for the entertainer business, including supporting brand equity campaigns, pr, and online presence on platforms like linkedin, to increase our visibility and reputation in the loyalty and rewards industry.  help coordinate trade events, conferences, and other industry initiatives to promote our brand and showcase our expertise.  collaborate with internal teams to support the development and execution of marketing strategies that elevate the entertainer business&#39;s brand presence and equity in the market.  monitor and measure the impact of brand engagement efforts on the entertainer business&#39;s brand presence and equity, adjusting strategies as needed to optimize results.  b2b client solution support  :  assist in improving client satisfaction and retention rates for the entertainer business.  support increased activation and redemption rates for clients&#39; loyalty and rewards programs.  contribute to user engagement metrics for clients&#39; programs, including new user acquisition and returning user rates.  brand engagement support:  assist in increasing the entertainer business&#39;s brand presence in the market, as measured by visibility on platforms, mentions in industry publications, and attendance at trade events.  support growth in the entertainer business&#39;s brand equity, as measured by industry recognition, client referrals, and positive sentiment among stakeholders.  requirements:  must be a saudi national.  a bachelor&#39;s degree in marketing, business, or a related field.  previous experience or internships in marketing, client engagement, or customer success is a plus.  basic understanding of marketing and client engagement strategies.  strong communication and interpersonal skills.  eagerness to learn and grow in the role.  proficiency in relevant software and tools for campaign management and analysis is a plus.  ability to work in a fast-paced, dynamic environment and manage multiple projects simultaneously.",https://sa.jooble.org/away/-6215270385874621727
28,resource manager (professional development/staffing manager) - riyadh,marsh & mclennan companies,riyadh,"resource manager (professional development/staffing manager) - riyadh page is loaded  resource manager (professional development/staffing manager) - riyadh  apply remote type hybrid locations riyadh - faisaliah time type full time posted on posted 3 days ago job requisition id r_224851  company:  oliver wyman  description:  oliver wyman is now looking for a resource manager (professional development/staffing manager) to join our talent management team in riyadh.  about oliver wyman:  oliver wyman is a global leader in management consulting. with offices in 60+ cities across nearly 30 countries, oliver wyman combines deep industry knowledge with specialized expertise in strategy, operations, risk management, and organization transformation. oliver wyman is a wholly owned subsidiary of marsh & mclennan companies –   the opportunity  we are looking for an exceptional individual to join our talent management team; this is a highly demanding position in a fast-paced, professional services environment.  as resource manager (talent manager), you will be responsible for project staffing, retaining and managing the consultant population across our industries and capabilities teams, our experienced consultant teams, our entry-level consultants and specialist teams.  key responsibilities will include:  staffing of external client projects with our consultant population; this will involve senior stakeholder interaction, being a trusted resource advisor and gaining by-in on staffing options and decisions  being responsible for the performance management of our consultants, including engaging in their career review processes, building a relationship with the consultants to understand their career goals, capabilities and personal project interests, as well as managing their work/life balance and well being  producing reporting around utilization and consultant time sheet data  maintaining updates on consultant availability and any new starters / leavers into the population  managing the on-boarding processes for any new consultants to ow, tracking mobility and any visa/relocation requirements and holiday allowances  who we are looking for… you’ll have at least 2 years resource management/staffing/ professional development experience from either another management consulting firm, or from another professional services firm  you’ll have experience of using resource management systems (e.g., retain) and have strong ms office skills (excel and powerpoint) you’ll be experienced in balancing ever-changing work demands in a challenging environment with numerous stakeholders to satisfy – a proven ability to foster relationships at all levels of the organization is essential in this role  fluency in english is required  why join us at oliver wyman? at oliver wyman,  we lead with heart  - we love what we do and have fun while we do it! we also  strive for breakthroughs  by questioning, seeking diverse perspectives, and finding powerful and sustainable solutions. if you share these values and want to work as one and  own our impact  at the same time,  be brave  and  achieve the amazing  with us! we’re individuals who are self-starting, motivated, energetic, entrepreneurial about what we do  we have the common aspiration to have an impact, leave a legacy and change the world. we have no interest in running a steady-state business. we want to build, grow and shape the environment around us  we value an environment where every member of oliver wyman is encouraged and expected to voice his or her opinion  we believe that to create a true meritocracy we need to remove artificial barriers to opportunity  we value people whose lives balance work and non-work activities because we believe they are both more interesting colleagues and are able to make better contributions to the firm.  we push ourselves hard to deliver excellence, but we also work to extract the maximum benefit from the flexibility of a project-based business. we provide the ability to take career breaks for personal or family reasons. we fundamentally value each other’s time and are sensitive to how it is used. we are an output not input-based culture, have respect for people’s personal decisions, and believe that one's workload must be sustainable. we seek balance for ourselves and our colleagues.  to learn more, please follow us on facebook, linkedin or twitter: oliverwyman.   marsh &amp; mclennan companies and its affiliates&#160;are eoe minority/female/disability/vet/sexual orientation/gender identity employers.    similar jobs (2)   oliver wyman – implementation consultant – riyadh  remote type hybrid locations riyadh - faisaliah time type full time posted on posted 25 days ago  mercer saudi arabia internship program  remote type hybrid locations riyadh - faisaliah time type full time posted on posted 10 days ago",https://sa.jooble.org/away/7566463591675714857
29,hr intern,suplift,riyadh,"about suplift:  suplift is the leading travel, tourism, and hobbies experiences platform in saudi arabia. suplift offers people with the opportunity to enjoy life more and discover themselves through fun and cheerful experiences.  role overview  :  we are looking for an hr intern to perform various administrative tasks and support our hr department’s daily activities.  hr intern responsibilities include updating our employee records with new hire information, screening resumes, and scheduling interviews. if you’re interested in kickstarting your career in hr and getting a closer look at how our company approaches payroll, recruiting, and employee development, we’d like to meet you.  ultimately, you will assist in organizing and coordinating our hr policies and procedures.  responsibilities:  update company databases by inputting new employee records.  coordinate recruitment processes,post job advertisements on job boards and social media platforms.  screening resumes and application forms to identify prospective employees to fill company job vacancies. &#160; schedule interviews with potential shortlisted candidates.  prepare hr-related reports as needed  assist the hr staff in filling employment forms and gathering market salary information.  assist in organizing company events.  respond to the hr team, employee benefits, and other human resources related matters.  work for employee development.  process personnel forms and maintain records to ensure timely performance evaluations.  ensuring accurate and proper record-keeping of employee information in electronic and digital format according to policy and legal requirements.  requirements  fresh graduate or currently studying toward a bachelors’ or master degree  have an&#160;initiative-taking attitude&#160; fast learner and tech-savvy  you are available to perform a 3 or 6 months internship  outstanding organizational and time-management skills  good verbal and written communication skills in arabic and english  excellent communication and interpersonal skills  good decision-making skills and problem-solver  strong ethical standards  familiarity with relevant software, such as microsoft office suite  based in riyadh  fresh graduate or currently studying toward a bachelors’ or master&#39; degree have an initiative-taking attitude fast learner and tech-savvy you are available to perform a 3 or 6 months internship outstanding organizational and time-management skills good verbal and written communication skills in arabic and english excellent communication and interpersonal skills good decision-making skills and problem-solver strong ethical standards familiarity with relevant software, such as microsoft office suite based in riyadh",https://sa.jooble.org/desc/-3740073033435356947
